feature,kind,threshold,operator,split_rule,criterion,impurity_decrease,n_left,n_right,class1,precision_1,recall_1,support_1,class2,precision_2,recall_2,support_2,value
Comment ID,numeric,,<=,Comment ID <= 3.26055e+07,entropy,0.1394385767954091,4,10,Order is  Pending | Notify the customer we will try to prevent it from being shipped,0.0,0.0,1,Unsupported Fulfillment status,0.9285714285714286,1.0,13,32605538.5
Ticket ID,numeric,,<=,Ticket ID <= 6.61321e+06,entropy,0.1394385767954091,4,10,Order is  Pending | Notify the customer we will try to prevent it from being shipped,0.0,0.0,1,Unsupported Fulfillment status,0.9285714285714286,1.0,13,6613209.5
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.4305518670104394,31,3,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,Shipping is processed | notify the customer,1.0,1.0,31,
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.4305518670104394,3,31,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,Shipping is processed | notify the customer,1.0,1.0,31,
The type of address change the customer asked to update ,list_contains,billing,in,'billing' in The type of address change the customer asked to update ,entropy,0.4305518670104394,3,31,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,Shipping is processed | notify the customer,1.0,1.0,31,
Delivery status,categorical,,==,Delivery status is null,entropy,0.4305518670104394,3,31,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,Shipping is processed | notify the customer,1.0,1.0,31,
Tags on the order in question,list_len,,len <=,len(Tags on the order in question) <= 2,entropy,0.4305518670104394,3,31,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,Shipping is processed | notify the customer,1.0,1.0,31,2.0
Delivery status,categorical,DELIVERED,==,Delivery status == 'DELIVERED',entropy,0.4305518670104394,3,31,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3,Shipping is processed | notify the customer,1.0,1.0,31
Order items in question,list_contains,14877104406765,in,'14877104406765' in Order items in question,entropy,0.1104071518093856,1,33,Order is delivered | Notify the customer ask if reorder is needed,1.0,0.3333333333333333,3,Shipping is processed | notify the customer,0.9393939393939394,1.0,31
Order items in question,list_contains,16035853598957,in,'16035853598957' in Order items in question,entropy,0.1104071518093856,1,33,Order is delivered | Notify the customer ask if reorder is needed,1.0,0.3333333333333333,3,Shipping is processed | notify the customer,0.9393939393939394,1.0,31
Order items in question,list_contains,16035853631725,in,'16035853631725' in Order items in question,entropy,0.1104071518093856,1,33,Order is delivered | Notify the customer ask if reorder is needed,1.0,0.3333333333333333,3,Shipping is processed | notify the customer,0.9393939393939394,1.0,31
